SELECTION [ORDERED]
size,comparisons,duration(us)
100,0,0.126
1000,0,0.173
10000,0,0.100
SELECTION [RANDOM]
size,comparisons,duration(us)
100,0,0.120
1000,0,0.159
10000,0,0.103
SELECTION [REVERSE]
size,comparisons,duration(us)
100,0,0.124
1000,0,0.147
10000,0,0.170
SELECTION [RANDOM WITH DUPLICATES]
size,comparisons,duration(us)
100,0,0.142
1000,0,0.091
10000,0,0.144
INSERTION [ORDERED]
size,comparisons,duration(us)
100,0,0.111
1000,0,0.135
10000,0,0.194
INSERTION [RANDOM]
size,comparisons,duration(us)
100,0,0.165
1000,0,0.120
10000,0,0.094
INSERTION [REVERSE]
size,comparisons,duration(us)
100,0,0.179
1000,0,0.131
10000,0,0.139
INSERTION [RANDOM WITH DUPLICATES]
size,comparisons,duration(us)
100,0,0.145
1000,0,0.152
10000,0,0.144
BUBBLE [ORDERED]
size,comparisons,duration(us)
100,99,3.167
1000,999,25.169
10000,9999,222.887
BUBBLE [RANDOM]
size,comparisons,duration(us)
100,9702,281.586
1000,960039,27293.173
10000,98220177,2649015.411
BUBBLE [REVERSE]
size,comparisons,duration(us)
100,9900,216.171
1000,999000,19747.315
10000,99990000,1879622.481
BUBBLE [RANDOM WITH DUPLICATES]
size,comparisons,duration(us)
100,8514,190.187
1000,954045,21672.964
10000,99420057,1878052.637
